filename,filepath,emotion,actor_id,statement_id,gender
03-01-03-01-01-02-06.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-01-02-06.wav,happy,6,1,female
03-01-03-01-01-02-12.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-01-02-12.wav,happy,12,1,female
03-01-03-01-01-02-13.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-01-02-13.wav,happy,13,1,male
03-01-03-01-01-02-07.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-01-02-07.wav,happy,7,1,male
03-01-03-01-01-02-11.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-01-02-11.wav,happy,11,1,male
03-01-03-01-01-02-05.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-01-02-05.wav,happy,5,1,male
03-01-03-01-02-02-19.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-02-02-19.wav,happy,19,2,male
03-01-03-01-02-02-18.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-02-02-18.wav,happy,18,2,female
03-01-03-01-02-02-24.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-02-02-24.wav,happy,24,2,female
03-01-03-01-01-02-04.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-01-02-04.wav,happy,4,1,female
03-01-03-01-01-02-10.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-01-02-10.wav,happy,10,1,female
03-01-03-01-01-02-14.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-01-02-14.wav,happy,14,1,female
03-01-03-01-02-02-08.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-02-02-08.wav,happy,8,2,female
03-01-03-01-02-02-20.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-02-02-20.wav,happy,20,2,female
03-01-03-01-02-02-21.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-02-02-21.wav,happy,21,2,male
03-01-03-01-02-02-09.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-02-02-09.wav,happy,9,2,male
03-01-03-01-01-02-01.wav,/Users/mcuzlas/Desktop/voice emotion system/data/real_datasets/RAVDESS/happy/03-01-03-01-01-02-01.wav,happy,1,1,male
